news_headline,news_article,news_category,compound
bmc issues work home order teachers school staff mumbai,bmc education department issued order asking schools jurisdiction discontinue 50 rotational attendance rule march 17 teachers take classes work home pattern help elearning platforms orders department stated comes amid rising coronavirus cases city,national,0.4019
former union minister dilip gandhi tested positive covid19 passes away,former union minister bjp leader dilip gandhi passed away wednesday morning tested positive covid19 undergoing treatment hospital delhi pm narendra modi expressed grief said remembered rich contributions community service helping poor made numerous efforts strengthen bjp maharashtra,national,0.6597
cong announces 14 names puducherry polls leaves narayanasamy,congress party released list 14 candidates upcoming assembly polls puducherry former puducherry chief minister v narayanasamys name not figure list 14 candidates india congress committee aicc incharge puducherry dinesh gundu rao informed narayanasamy not contest 2021 assembly elections union territory,national,0.4019
himachal pradesh mp ram swaroop sharma found dead suicide suspected,bjp mp ram swaroop sharma himachal pradeshs mandi found dead inside house delhi wednesday morning police suspect sharma died suicide delhi police said received call staffer police added found hanging door closed inside,national,-0.9393
nia seizes mercedes used sachin vaze no plate bomb scare suv,nia probing recovery explosivesladen scorpio car near mukesh ambanis residence antilia seized black mercedesbenz car containing 5 lakh cash number plate identical explosivesladen suv nia ig anil shukla said mercedes used suspended mumbai police officer sachin vaze arrested case earlier,national,-0.7096
india reports highest daily covid19 cases 2021 28903,india reported 28903 new covid19 cases last 24 hours highest number cases reported day 2021 country reported 188 deaths last 24 hours taking covid19 death toll 159044 total covid19 cases country stand 11438734 active cases stand 234406,national,-0.2263
du teachers march cm residence protest delay grants,delhi university teachers marched north campus cm arvind kejriwals residence monday delay release grants salary right not beg protesting teacher said teachers stopped barricading ahead cms residence handed memorandum addressed,national,0.0083
total lockdown pune not necessary right mayor murlidhar,pune mayor murlidhar mohol tuesday said no need impose complete lockdown city yet despite spike covid19 cases added health authorities district set micro containment zones increased screening testing control recent surge tuesday pune reported 3574 fresh cases,national,0.4745
delhi govt sets education board gets registered dbse,cm arvind kejriwalled delhi government tuesday announced formation registration delhi board school education dbse delhi education board delhi education board got registered today delhis directorate education tweeted march 6 cm kejriwal informed delhi cabinet gave approval constitution school education board,national,0.4767
no women shos delhi delhi commission women police,following media reports no women station house officers shos 178 police stations delhi delhi commission women dcw issued notice delhi police seeking information reports also state already rules place guaranteeing 33 reservation women force still women participation remains particularly low dcw stated,national,-0.5563
